cuda:0
bitflip_projchi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 2000
tensor(23.5895, device='cuda:0')
pval: 0.0010000000474974513 -- 1th test, time elapsed 16.585099935531616 -- emperical power so far: 1.0
tensor(3.1147, device='cuda:0')
pval: 0.36900001764297485 -- 2th test, time elapsed 3.2817318439483643 -- emperical power so far: 0.5
tensor(15.1482, device='cuda:0')
pval: 0.0010000000474974513 -- 3th test, time elapsed 3.258028030395508 -- emperical power so far: 0.6666666666666666
tensor(13.5184, device='cuda:0')
pval: 0.0020000000949949026 -- 4th test, time elapsed 3.259103775024414 -- emperical power so far: 0.75
tensor(3.2354, device='cuda:0')
pval: 0.35100001096725464 -- 5th test, time elapsed 3.289151668548584 -- emperical power so far: 0.6
tensor(5.3139, device='cuda:0')
pval: 0.1550000011920929 -- 6th test, time elapsed 3.3075695037841797 -- emperical power so far: 0.5
tensor(2.8307, device='cuda:0')
pval: 0.4400000274181366 -- 7th test, time elapsed 3.2995591163635254 -- emperical power so far: 0.42857142857142855
tensor(3.2181, device='cuda:0')
pval: 0.34700000286102295 -- 8th test, time elapsed 3.2848331928253174 -- emperical power so far: 0.375
tensor(5.8657, device='cuda:0')
pval: 0.10900000482797623 -- 9th test, time elapsed 3.2533109188079834 -- emperical power so far: 0.3333333333333333
tensor(3.3640, device='cuda:0')
pval: 0.3400000035762787 -- 10th test, time elapsed 3.2792680263519287 -- emperical power so far: 0.3
tensor(12.6158, device='cuda:0')
pval: 0.005000000353902578 -- 11th test, time elapsed 3.2759668827056885 -- emperical power so far: 0.36363636363636365
tensor(14.9772, device='cuda:0')
pval: 0.003000000026077032 -- 12th test, time elapsed 3.252354621887207 -- emperical power so far: 0.4166666666666667
tensor(6.2854, device='cuda:0')
pval: 0.10100000351667404 -- 13th test, time elapsed 3.2612907886505127 -- emperical power so far: 0.38461538461538464
tensor(16.1322, device='cuda:0')
