cuda:0
bitflip_projchi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(9.1378, device='cuda:0')
pval: 0.030000001192092896 -- 1th test, time elapsed 15.281277656555176 -- emperical power so far: 1.0
tensor(3.9212, device='cuda:0')
pval: 0.2760000228881836 -- 2th test, time elapsed 3.196821689605713 -- emperical power so far: 0.5
tensor(11.7566, device='cuda:0')
pval: 0.007000000216066837 -- 3th test, time elapsed 3.1998353004455566 -- emperical power so far: 0.6666666666666666
tensor(4.5563, device='cuda:0')
pval: 0.21300001442432404 -- 4th test, time elapsed 3.1902759075164795 -- emperical power so far: 0.5
tensor(4.1953, device='cuda:0')
pval: 0.26500001549720764 -- 5th test, time elapsed 3.1266865730285645 -- emperical power so far: 0.4
tensor(6.9366, device='cuda:0')
pval: 0.06400000303983688 -- 6th test, time elapsed 3.111847400665283 -- emperical power so far: 0.3333333333333333
tensor(4.7110, device='cuda:0')
pval: 0.2240000069141388 -- 7th test, time elapsed 3.1237905025482178 -- emperical power so far: 0.2857142857142857
tensor(1.7761, device='cuda:0')
pval: 0.597000002861023 -- 8th test, time elapsed 3.114443302154541 -- emperical power so far: 0.25
tensor(3.8649, device='cuda:0')
pval: 0.2680000066757202 -- 9th test, time elapsed 3.1639773845672607 -- emperical power so far: 0.2222222222222222
tensor(4.7982, device='cuda:0')
pval: 0.19700001180171967 -- 10th test, time elapsed 3.107917308807373 -- emperical power so far: 0.2
tensor(2.1651, device='cuda:0')
pval: 0.5360000133514404 -- 11th test, time elapsed 3.3171703815460205 -- emperical power so far: 0.18181818181818182
tensor(4.4877, device='cuda:0')
pval: 0.2120000123977661 -- 12th test, time elapsed 3.159672260284424 -- emperical power so far: 0.16666666666666666
tensor(2.7681, device='cuda:0')
pval: 0.42100003361701965 -- 13th test, time elapsed 3.16864275932312 -- emperical power so far: 0.15384615384615385
tensor(4.4111, device='cuda:0')
pval: 0.21000000834465027 -- 14th test, time elapsed 3.1176648139953613 -- emperical power so far: 0.14285714285714285
tensor(7.0756, device='cuda:0')
pval: 0.058000002056360245 -- 15th test, time elapsed 3.1487152576446533 -- emperical power so far: 0.13333333333333333
tensor(4.5783, device='cuda:0')
pval: 0.20400001108646393 -- 16th test, time elapsed 3.1490912437438965 -- emperical power so far: 0.125
tensor(18.3308, device='cuda:0')
pval: 0.0010000000474974513 -- 17th test, time elapsed 3.1973769664764404 -- emperical power so far: 0.17647058823529413
tensor(0.5476, device='cuda:0')
pval: 0.9160000681877136 -- 18th test, time elapsed 3.2636895179748535 -- emperical power so far: 0.16666666666666666
tensor(8.4583, device='cuda:0')
pval: 0.04100000113248825 -- 19th test, time elapsed 3.143821954727173 -- emperical power so far: 0.21052631578947367
tensor(5.3906, device='cuda:0')
pval: 0.14000000059604645 -- 20th test, time elapsed 3.141247034072876 -- emperical power so far: 0.2
tensor(1.8846, device='cuda:0')
pval: 0.6010000109672546 -- 21th test, time elapsed 3.150758981704712 -- emperical power so far: 0.19047619047619047
tensor(6.5125, device='cuda:0')
