cuda:1
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 2000
tensor(0.0055, device='cuda:1')
pval: 0.0010000000474974513 -- 1th test, time elapsed 14.219036102294922 -- emperical power so far: 1.0
tensor(0.0006, device='cuda:1')
pval: 0.13300000131130219 -- 2th test, time elapsed 2.3587265014648438 -- emperical power so far: 0.5
tensor(0.0029, device='cuda:1')
pval: 0.003000000026077032 -- 3th test, time elapsed 2.292921304702759 -- emperical power so far: 0.6666666666666666
tensor(0.0019, device='cuda:1')
pval: 0.018000001087784767 -- 4th test, time elapsed 2.303948163986206 -- emperical power so far: 0.75
tensor(0.0026, device='cuda:1')
pval: 0.00800000037997961 -- 5th test, time elapsed 2.2880752086639404 -- emperical power so far: 0.8
tensor(0.0005, device='cuda:1')
pval: 0.17600001394748688 -- 6th test, time elapsed 2.3049707412719727 -- emperical power so far: 0.6666666666666666
tensor(0.0029, device='cuda:1')
pval: 0.005000000353902578 -- 7th test, time elapsed 2.327160120010376 -- emperical power so far: 0.7142857142857143
tensor(0.0030, device='cuda:1')
pval: 0.004000000189989805 -- 8th test, time elapsed 2.5416407585144043 -- emperical power so far: 0.75
tensor(0.0005, device='cuda:1')
pval: 0.17900000512599945 -- 9th test, time elapsed 2.4644436836242676 -- emperical power so far: 0.6666666666666666
tensor(0.0014, device='cuda:1')
pval: 0.046000003814697266 -- 10th test, time elapsed 2.456998348236084 -- emperical power so far: 0.7
tensor(0.0048, device='cuda:1')
pval: 0.0010000000474974513 -- 11th test, time elapsed 2.3496882915496826 -- emperical power so far: 0.7272727272727273
tensor(0.0008, device='cuda:1')
pval: 0.10000000149011612 -- 12th test, time elapsed 2.3607451915740967 -- emperical power so far: 0.6666666666666666
tensor(0.0029, device='cuda:1')
pval: 0.003000000026077032 -- 13th test, time elapsed 2.4919557571411133 -- emperical power so far: 0.6923076923076923
tensor(0.0042, device='cuda:1')
pval: 0.0010000000474974513 -- 14th test, time elapsed 2.4711222648620605 -- emperical power so far: 0.7142857142857143
tensor(0.0011, device='cuda:1')
pval: 0.06599999964237213 -- 15th test, time elapsed 2.433349370956421 -- emperical power so far: 0.6666666666666666
tensor(0.0043, device='cuda:1')
pval: 0.0010000000474974513 -- 16th test, time elapsed 2.48160719871521 -- emperical power so far: 0.6875
tensor(0.0027, device='cuda:1')
pval: 0.005000000353902578 -- 17th test, time elapsed 2.4085922241210938 -- emperical power so far: 0.7058823529411765
tensor(0.0044, device='cuda:1')
pval: 0.0010000000474974513 -- 18th test, time elapsed 2.42215633392334 -- emperical power so far: 0.7222222222222222
tensor(0.0007, device='cuda:1')
pval: 0.1080000028014183 -- 19th test, time elapsed 2.506805419921875 -- emperical power so far: 0.6842105263157895
tensor(0.0052, device='cuda:1')
pval: 0.0010000000474974513 -- 20th test, time elapsed 2.4619710445404053 -- emperical power so far: 0.7
tensor(0.0006, device='cuda:1')
pval: 0.1469999998807907 -- 21th test, time elapsed 2.4364802837371826 -- emperical power so far: 0.6666666666666666
tensor(0.0036, device='cuda:1')
pval: 0.0020000000949949026 -- 22th test, time elapsed 2.4265785217285156 -- emperical power so far: 0.6818181818181818
tensor(0.0051, device='cuda:1')
pval: 0.0010000000474974513 -- 23th test, time elapsed 2.4583253860473633 -- emperical power so far: 0.6956521739130435
tensor(0.0027, device='cuda:1')
pval: 0.003000000026077032 -- 24th test, time elapsed 2.4143192768096924 -- emperical power so far: 0.7083333333333334
tensor(0.0057, device='cuda:1')
pval: 0.0010000000474974513 -- 25th test, time elapsed 2.414656639099121 -- emperical power so far: 0.72
tensor(0.0023, device='cuda:1')
pval: 0.01100000087171793 -- 26th test, time elapsed 2.474461317062378 -- emperical power so far: 0.7307692307692307
tensor(0.0032, device='cuda:1')
pval: 0.0010000000474974513 -- 27th test, time elapsed 2.410031795501709 -- emperical power so far: 0.7407407407407407
tensor(0.0033, device='cuda:1')
pval: 0.0010000000474974513 -- 28th test, time elapsed 2.435458183288574 -- emperical power so far: 0.75
tensor(0.0059, device='cuda:1')
pval: 0.0010000000474974513 -- 29th test, time elapsed 2.4516513347625732 -- emperical power so far: 0.7586206896551724
tensor(0.0007, device='cuda:1')
pval: 0.12700000405311584 -- 30th test, time elapsed 2.47819185256958 -- emperical power so far: 0.7333333333333333
tensor(0.0012, device='cuda:1')
pval: 0.04000000283122063 -- 31th test, time elapsed 2.41943359375 -- emperical power so far: 0.7419354838709677
tensor(0.0029, device='cuda:1')
pval: 0.0010000000474974513 -- 32th test, time elapsed 2.4089980125427246 -- emperical power so far: 0.75
tensor(0.0005, device='cuda:1')
pval: 0.20100000500679016 -- 33th test, time elapsed 2.5026144981384277 -- emperical power so far: 0.7272727272727273
tensor(-0.0001, device='cuda:1')
pval: 0.4690000116825104 -- 34th test, time elapsed 2.42462158203125 -- emperical power so far: 0.7058823529411765
tensor(0.0008, device='cuda:1')
pval: 0.10600000619888306 -- 35th test, time elapsed 2.466611862182617 -- emperical power so far: 0.6857142857142857
tensor(0.0024, device='cuda:1')
pval: 0.005000000353902578 -- 36th test, time elapsed 2.4458184242248535 -- emperical power so far: 0.6944444444444444
tensor(0.0040, device='cuda:1')
pval: 0.0010000000474974513 -- 37th test, time elapsed 2.4059205055236816 -- emperical power so far: 0.7027027027027027
tensor(0.0016, device='cuda:1')
pval: 0.020000001415610313 -- 38th test, time elapsed 2.42817759513855 -- emperical power so far: 0.7105263157894737
tensor(0.0110, device='cuda:1')
pval: 0.0010000000474974513 -- 39th test, time elapsed 2.457273483276367 -- emperical power so far: 0.717948717948718
